transaction_id,transaction_date,transaction_time,customer_id,product_id,quantity,unit_price,product_category,product_type,product,size
7,2019-04-01,12:04:43,558,52,1,2.5,Tea,Brewed Chai tea,Traditional Blend Chai,Rg
11,2019-04-01,15:54:39,781,27,2,3.5,Coffee,Organic brewed coffee,Brazilian,Lg
19,2019-04-01,14:34:59,788,46,2,2.5,Tea,Brewed Green tea,Serenity Green Tea,Rg
32,2019-04-01,16:06:04,683,23,2,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Rg
33,2019-04-01,19:18:37,99,34,1,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River,Sm
39,2019-04-01,18:54:46,664,32,1,3.0,Coffee,Gourmet brewed coffee,Ethiopia,Rg
50,2019-04-01,13:03:49,316,49,2,3.0,Tea,Brewed Black tea,English Breakfast,Lg
53,2019-04-01,11:21:14,38,60,1,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Rg
59,2019-04-01,19:30:55,370,51,2,3.0,Tea,Brewed Black tea,Earl Grey,Lg
62,2019-04-01,12:01:00,180,49,2,3.0,Tea,Brewed Black tea,English Breakfast,Lg
81,2019-04-01,13:20:51,35,35,2,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River,Rg
90,2019-04-01,11:40:20,595,47,1,3.0,Tea,Brewed Green tea,Serenity Green Tea,Lg
91,2019-04-01,12:27:43,500,25,2,2.2,Coffee,Organic brewed coffee,Brazilian,Sm
94,2019-04-01,17:37:02,128,23,2,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Rg
101,2019-04-01,12:26:34,599,48,2,2.5,Tea,Brewed Black tea,English Breakfast,Rg
103,2019-04-01,14:33:32,152,53,2,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg
108,2019-04-01,16:11:18,65,40,1,3.75,Coffee,Barista Espresso,Cappuccino,Regular
112,2019-04-01,13:03:38,90,37,2,3.0,Coffee,Barista Espresso,Espresso shot,Regular
117,2019-04-01,18:25:04,82,60,1,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Rg
120,2019-04-01,15:51:44,174,53,2,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg
127,2019-04-01,13:58:40,116,41,2,4.25,Coffee,Barista Espresso,Cappuccino,Lg
134,2019-04-01,11:49:29,189,38,2,3.75,Coffee,Barista Espresso,Latte,Regular
135,2019-04-01,17:01:36,131,40,1,3.75,Coffee,Barista Espresso,Cappuccino,Regular
137,2019-04-01,11:10:04,264,40,1,3.75,Coffee,Barista Espresso,Cappuccino,Regular
138,2019-04-01,13:17:42,722,38,1,3.75,Coffee,Barista Espresso,Latte,Regular
141,2019-04-01,14:07:25,302,50,1,2.5,Tea,Brewed Black tea,Earl Grey,Rg
143,2019-04-01,13:17:00,174,59,2,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg
150,2019-04-01,12:24:53,604,28,1,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Sm
156,2019-04-01,12:30:00,32,34,1,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River,Sm
156,2019-04-01,12:30:00,32,77,1,3.0,Bakery,Scone,Oatmeal Scone,Regular
162,2019-04-01,19:07:40,470,55,1,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg
165,2019-04-01,16:44:46,127,54,2,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Rg
175,2019-04-01,19:54:12,553,47,1,3.0,Tea,Brewed Green tea,Serenity Green Tea,Lg
180,2019-04-01,17:52:36,518,45,2,3.0,Tea,Brewed herbal tea,Peppermint,Lg
199,2019-04-01,14:24:55,112,41,2,4.25,Coffee,Barista Espresso,Cappuccino,Lg
199,2019-04-01,14:24:55,112,79,1,3.75,Bakery,Scone,Jumbo Savory Scone,Regular
202,2019-04-01,17:26:58,437,37,2,3.0,Coffee,Barista Espresso,Espresso shot,Regular
212,2019-04-01,17:03:21,552,50,1,2.5,Tea,Brewed Black tea,Earl Grey,Rg
219,2019-04-01,15:03:55,194,43,1,3.0,Tea,Brewed herbal tea,Lemon Grass,Lg
224,2019-04-01,14:54:27,788,38,2,3.75,Coffee,Barista Espresso,Latte,Regular
226,2019-04-01,16:30:12,533,40,1,3.75,Coffee,Barista Espresso,Cappuccino,Regular
227,2019-04-01,12:09:11,521,28,2,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Sm
238,2019-04-01,15:48:10,512,41,1,4.25,Coffee,Barista Espresso,Cappuccino,Lg
247,2019-04-01,19:04:32,178,23,1,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Rg
248,2019-04-01,14:30:49,416,32,2,3.0,Coffee,Gourmet brewed coffee,Ethiopia,Rg
249,2019-04-01,11:15:38,22,52,1,2.5,Tea,Brewed Chai tea,Traditional Blend Chai,Rg
260,2019-04-01,18:14:31,642,61,2,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Lg
262,2019-04-01,11:52:08,189,58,1,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Rg
268,2019-04-01,16:04:10,223,42,2,2.5,Tea,Brewed herbal tea,Lemon Grass,Rg
269,2019-04-01,19:25:00,40,53,1,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg
270,2019-04-01,11:27:00,344,49,1,3.0,Tea,Brewed Black tea,English Breakfast,Lg
