time_bin,customer_id,product_id
1,558,52
1,781,27
1,788,46
1,683,23
2,99,34
2,664,32
1,316,49
0,38,60
2,370,51
1,180,49
1,35,35
0,595,47
1,500,25
1,128,23
1,599,48
1,152,53
1,65,40
1,90,37
2,82,60
1,174,53
1,116,41
0,189,38
1,131,40
0,264,40
1,722,38
1,302,50
1,174,59
1,604,28
1,32,34
1,32,77
2,470,55
1,127,54
2,553,47
1,518,45
1,112,41
1,112,79
1,437,37
1,552,50
1,194,43
1,788,38
1,533,40
1,521,28
1,512,41
2,178,23
1,416,32
0,22,52
2,642,61
0,189,58
1,223,42
2,40,53
0,344,49
1,401,42
0,189,31
1,517,43
1,328,39
1,328,79
1,331,48
2,414,55
2,567,48
2,526,22
1,659,52
2,492,25
2,655,39
1,500,41
1,530,41
1,530,76
1,114,38
2,301,51
1,602,54
0,565,31
1,335,29
1,52,25
2,216,33
2,216,79
1,550,47
2,481,26
1,516,22
1,508,31
1,508,76
2,717,34
1,641,26
1,525,46
2,384,22
1,784,47
1,383,26
1,659,50
1,235,30
1,319,49
1,647,34
2,320,35
1,326,56
2,122,41
2,453,59
1,185,26
2,393,55
1,392,47
1,392,74
2,241,35
2,777,24
1,407,52
1,659,39
1,288,35
1,288,79
2,15,26
0,486,59
1,206,43
1,206,71
1,315,25
1,197,55
2,329,36
2,184,55
2,474,22
1,706,38
1,384,29
2,537,52
2,128,27
0,349,22
1,245,25
2,244,32
1,65,56
1,616,43
0,284,51
1,384,60
1,269,55
1,269,71
0,736,54
1,385,52
1,25,26
1,200,28
1,450,36
1,644,51
2,482,59
1,83,41
0,199,23
0,199,69
1,425,22
1,222,43
0,776,51
0,190,30
2,729,25
2,729,77
1,749,59
2,281,54
2,362,55
1,271,57
1,271,70
0,289,59
1,124,36
0,693,37
1,602,25
1,602,77
2,376,60
1,251,60
1,459,38
1,120,44
2,136,60
1,596,58
2,393,55
1,126,51
1,162,34
1,230,56
2,290,25
1,119,22
1,332,58
1,138,35
1,361,55
1,488,42
1,222,60
2,141,53
2,505,41
1,139,53
1,473,26
2,329,44
0,600,49
1,796,26
1,52,37
2,702,28
2,466,51
2,466,74
2,24,47
0,456,52
2,406,55
1,637,24
1,209,27
1,209,74
1,438,35
1,536,36
2,550,46
2,550,78
1,548,45
1,548,70
1,662,34
1,662,71
1,341,29
1,341,71
1,685,58
2,631,27
2,675,54
0,773,56
1,740,57
1,743,57
1,296,44
2,63,50
2,63,69
1,563,47
1,424,61
1,382,23
1,608,54
2,497,53
1,313,43
1,81,53
